"NAME = Sine Wave9d224982-16ce-4f10-a2a8-ecdee2079ac3","NAME = Sine Wave52e06d37-7caf-4b4c-b042-71eee0982e91",
"0","0",
"0.1564","-0.1564",
"0.309","-0.309",
"0.454","-0.454",
"0.5878","-0.5878",
"0.7071","-0.7071",
"0.809","-0.809",
"0.891","-0.891",
"0.9511","-0.9511",
"0.9877","-0.9877",
"1","-1",
"0.9877","-0.9877",
"0.9511","-0.9511",
"0.891","-0.891",
"0.809","-0.809",
"0.7071","-0.7071",
"0.5878","-0.5878",
"0.454","-0.454",
"0.309","-0.309",
"0.1564","-0.1564",
"0","0",
"-0.1564","0.1564",
"-0.309","0.309",
"-0.454","0.454",
"-0.5878","0.5878",
"-0.7071","0.7071",
"-0.809","0.809",
"-0.891","0.891",
"-0.9511","0.9511",
"-0.9877","0.9877",
"-1","1",
"-0.9877","0.9877",
"-0.9511","0.9511",
"-0.891","0.891",
"-0.809","0.809",
"-0.7071","0.7071",
"-0.5878","0.5878",
"-0.454","0.454",
"-0.309","0.309",
"-0.1564","0.1564",
"0","0",
"0","0",
"0.1564","-0.1564",
"0.309","-0.309",
"0.454","-0.454",
"0.5878","-0.5878",
"0.7071","-0.7071",
"0.809","-0.809",
"0.891","-0.891",
"0.9511","-0.9511",
"0.9877","-0.9877",
"1","-1",
"0.9877","-0.9877",
"0.9511","-0.9511",
"0.891","-0.891",
"0.809","-0.809",
"0.7071","-0.7071",
"0.5878","-0.5878",
"0.454","-0.454",
"0.309","-0.309",
"0.1564","-0.1564",
"0","0",
"-0.1564","0.1564",
"-0.309","0.309",
"-0.454","0.454",
"-0.5878","0.5878",
"-0.7071","0.7071",
"-0.809","0.809",
"-0.891","0.891",
"-0.9511","0.9511",
"-0.9877","0.9877",
"-1","1",
"-0.9877","0.9877",
"-0.9511","0.9511",
"-0.891","0.891",
"-0.809","0.809",
"-0.7071","0.7071",
"-0.5878","0.5878",
"-0.454","0.454",
"-0.309","0.309",
"-0.1564","0.1564",
"0","0",
"0","0",
"0.1564","-0.1564",
"0.309","-0.309",
"0.454","-0.454",
"0.5878","-0.5878",
"0.7071","-0.7071",
"0.809","-0.809",
"0.891","-0.891",
"0.9511","-0.9511",
"0.9877","-0.9877",
"1","-1",
"0.9877","-0.9877",
"0.9511","-0.9511",
"0.891","-0.891",
"0.809","-0.809",
"0.7071","-0.7071",
"0.5878","-0.5878",
"0.454","-0.454",
"0.309","-0.309",
"0.1564","-0.1564",
"0","0",
"-0.1564","0.1564",
"-0.309","0.309",
"-0.454","0.454",
"-0.5878","0.5878",
"-0.7071","0.7071",
"-0.809","0.809",
"-0.891","0.891",
"-0.9511","0.9511",
"-0.9877","0.9877",
"-1","1",
"-0.9877","0.9877",
"-0.9511","0.9511",
"-0.891","0.891",
"-0.809","0.809",
"-0.7071","0.7071",
"-0.5878","0.5878",
"-0.454","0.454",
"-0.309","0.309",
"-0.1564","0.1564",
"0","0",
"0","0",
"0.1564","-0.1564",
"0.309","-0.309",
"0.454","-0.454",
"0.5878","-0.5878",
"0.7071","-0.7071",
"0.809","-0.809",
"0.891","-0.891",
"0.9511","-0.9511",
"0.9877","-0.9877",
"1","-1",
"0.9877","-0.9877",
"0.9511","-0.9511",
"0.891","-0.891",
"0.809","-0.809",
"0.7071","-0.7071",
"0.5878","-0.5878",
"0.454","-0.454",
"0.309","-0.309",
"0.1564","-0.1564",
"0","0",
"-0.1564","0.1564",
"-0.309","0.309",
"-0.454","0.454",
"-0.5878","0.5878",
"-0.7071","0.7071",
"-0.809","0.809",
"-0.891","0.891",
"-0.9511","0.9511",
"-0.9877","0.9877",
"-1","1",
"-0.9877","0.9877",
"-0.9511","0.9511",
"-0.891","0.891",
"-0.809","0.809",
"-0.7071","0.7071",
"-0.5878","0.5878",
"-0.454","0.454",
"-0.309","0.309",
"-0.1564","0.1564",
"0","0",
"0","0",
"0.1564","-0.1564",
"0.309","-0.309",
"0.454","-0.454",
"0.5878","-0.5878",
"0.7071","-0.7071",
"0.809","-0.809",
"0.891","-0.891",
"0.9511","-0.9511",
"0.9877","-0.9877",
"1","-1",
"0.9877","-0.9877",
"0.9511","-0.9511",
"0.891","-0.891",
"0.809","-0.809",
"0.7071","-0.7071",
"0.5878","-0.5878",
"0.454","-0.454",
"0.309","-0.309",
"0.1564","-0.1564",
"0","0",
"-0.1564","0.1564",
"-0.309","0.309",
"-0.454","0.454",
"-0.5878","0.5878",
"-0.7071","0.7071",
"-0.809","0.809",
"-0.891","0.891",
"-0.9511","0.9511",
"-0.9877","0.9877",
"-1","1",
"-0.9877","0.9877",
"-0.9511","0.9511",
"-0.891","0.891",
"-0.809","0.809",
"-0.7071","0.7071",
"-0.5878","0.5878",
"-0.454","0.454",
"-0.309","0.309",
"-0.1564","0.1564",
"0","0",
"0","0",
